,available,code,image,link,name,num_merchants,num_reviews,price,region,snoothrank,tags,type,varietal,vintage,winery,winery_id
0,1,hitching-post-generation-2005,http://ei.isnooth.com/multimedia/a/e/1/image_319467_square.jpeg,http://www.snooth.com/wine/hitching-post-generation-2005/,Hitching Post Generation,112,1,15.99,USA > California > Santa Barbara,n/a,,Red Wine,Cabernet Franc; Merlot; Syrah,2005,Hitching Post,hitching-post
1,1,villa-farnia-di-farnese-montepulciano-dabruzzo-2008-1,http://ei.isnooth.com/multimedia/d/5/c/image_749147_square.jpeg,http://www.snooth.com/wine/villa-farnia-di-farnese-montepulciano-dabruzzo-2008-1/,Villa Farnia di Farnese Montepulciano d'Abruzzo,2,5,20.75,Italy > Abruzzi > Montepulciano d'Abruzzo,2.5,,Red Wine,Montepulciano,2008,Farnese Vini,farnese-vini
2,1,sette-ponti-2007,http://ei.isnooth.com/multimedia/5/9/a/image_912625_square.jpeg,http://www.snooth.com/wine/sette-ponti-2007/,Sette Ponti,2,6,104.99,Italy > Tuscany > Maremma > Maremma Toscana Igt,3.5,,,,2007,Tenuta Sette Ponti,tenuta-sette-ponti
3,1,paracombe-shiraz-adelaide-hills-2001,http://ei.isnooth.com/multimedia/8/2/e/image_231787_square.jpeg,http://www.snooth.com/wine/paracombe-shiraz-adelaide-hills-2001/,Paracombe Shiraz Adelaide Hills,1,12,69.99,Australia > Adelaide Hills,4,,Red Wine,Syrah,2001,Paracombe,paracombe
4,1,vina-misiones-de-rengo-carmenere-rapel-valley-reserva-2008,http://ei.isnooth.com/multimedia/7/d/8/image_1969776_square.jpeg,http://www.snooth.com/wine/vina-misiones-de-rengo-carmenere-rapel-valley-reserva-2008/,Viña Misiones de Rengo Carménère Rapel Valley Reserva,1,2,6.99,Chile > Central Valley > Rapel Valley > Rengo,3.5,,Red Wine,Carmenère,2008,Viña Misiones de Rengo,vina-misiones-de-rengo
5,1,walnut-crest-merlot-valle-rapel-emiliana-2007,http://ei.isnooth.com/multimedia/e/e/d/image_619516_square.jpeg,http://www.snooth.com/wine/walnut-crest-merlot-valle-rapel-emiliana-2007/,Walnut Crest Merlot Valle Rapel Emiliana,1,15,10.49,Chile > Central Valley > Rapel Valley,2.5,,Red Wine,Merlot,2007,Emiliana,emiliana
6,1,castello-monaci-negroamaro-salento-igt-maru-2007,http://ei.isnooth.com/multimedia/1/6/9/image_897831_square.jpeg,http://www.snooth.com/wine/castello-monaci-negroamaro-salento-igt-maru-2007/,Castello Monaci Negroamaro Salento IGT Maru,2,4,13.99,Italy > Puglia > Salice Salentino,3.5,,Red Wine,Negroamaro,2007,Castello Monaci,castello-monaci
7,1,finca-sandoval-syrah-blend-manchuela-cuvee-cecilia-2008,http://ei.isnooth.com/multimedia/9/e/a/image_1731665_square.png,http://www.snooth.com/wine/finca-sandoval-syrah-blend-manchuela-cuvee-cecilia-2008/,Finca Sandoval Syrah Blend Manchuela Cuvée Cecilia,1,5,29.99,Spain > Castilla-la Mancha > Manchuela,n/a,,Red Wine,Syrah; Grenache; Bobal,2008,Finca Sandoval,finca-sandoval
8,1,wait-cellars-green-valley-pinot-noir-devoto-garden-vineyard-2012,http://ei.isnooth.com/multimedia/f/d/5/image_3336373_square.jpeg,http://www.snooth.com/wine/wait-cellars-green-valley-pinot-noir-devoto-garden-vineyard-2012/,Wait Cellars Green Valley Pinot Noir Devoto Garden Vineyard,3,0,32.0,USA > California > Sonoma County > Russian River Valley > Green Valley,n/a,,Red Wine,Pinot Noir,2012,Wait Cellars,wait-cellars
9,1,zd-wines-pinot-noir-napa-2008,http://ei.isnooth.com/multimedia/d/7/4/image_1350369_square.png,http://www.snooth.com/wine/zd-wines-pinot-noir-napa-2008/,Zd Wines Pinot Noir Napa,1,7,34.99,USA > California > Napa County,2.5,,Red Wine,Pinot Noir,2008,ZD Wines,zd-wines
10,1,domaine-chante-cigale-chateauneuf-du-pape-bottle-2007,http://ei.isnooth.com/multimedia/6/0/8/image_938470_square.jpeg,http://www.snooth.com/wine/domaine-chante-cigale-chateauneuf-du-pape-bottle-2007/,Domaine Chante Cigale Chateauneuf-du-Pape Bottle,1,10,55.99,France > Rhône > Southern Rhône > Châteauneuf-du-pape,3.5,,Red Wine,Grenache; Syrah; Mourvedre,2007,Domaine Chante Cigale,domaine-chante-cigale
11,1,standing-stone-vineyards-pinot-noir-finger-lakes-2007,http://ei.isnooth.com/multimedia/d/6/d/image_770157_square.jpeg,http://www.snooth.com/wine/standing-stone-vineyards-pinot-noir-finger-lakes-2007/,Standing Stone Vineyards Pinot Noir Finger Lakes,1,6,15.63,USA > New York > Seneca Lake,n/a,,Red Wine,Pinot Noir,2007,Standing Stone Vineyards,standing-stone-vineyards
